 end up
 freaking out
 available 
 catch 
 date 
 achieving 
 went down
 lose 
 killed 
 arrested 
 church 
 left 
 Getting close
 Found 
 played 
 Playing 
 caught 
 living 
 messed up
 diversifying 
 provided 
 drove 
 caught 
 Ayy 
 came over
 wandering 
 are down
 Ayy 
 came over
 #PokemonGO 
 work on
 catching 
 wandering 
 spending 
 wandering 
 Shoutout 
 walking 
 stops 
 live 
 playing 
 Deleting 
 dating 
 collect 
 joined 
 expect 
 trainer 
 are down
 caught 
 caught 
 catching 
 sign 
 dressed 
 run 
 servers down
 pajamas back
 gonna 
 walk 
 are down
 play 
 catch 
 downloaded 
 throw 
 going down
 throw 
 morning 
 cause 
 watching 
 date idea
 catch 
 claimed 
 ringing 
 talking 
 got a
 talking 
 available 
 catch 
 wandering 
 PLAYING 
 throw 
 Ayy 
 came over
 play 
 wandering 
 play 
 log 
 using 
 throw 
 get outside
 play 
 is out
 work out
 got 
 game 
 registered 
 feel 
 left 
 game 
 asses up
 go outside
 catching 
 flying 
 leaving work
 read 
 go 
 strip 
 catch 
 check 
 date 
 released 
 Due 
 incredible 
 downloads 
 experience 
 are down
 playing 
 Stop 
 go down
 join 
 game 
 are down
 wanna 
 crashing 
 driving 
 catch 
 playing 
 walks 
 Gimme 
 game 
 playing 
 charge 
 catch 
 throw 
 work 
 paid off
 signed 
 play 
 glitched 
 dead 
 are down
 shot 
 tried 
 battle 
 gave 
 Due 
 incredible 
 downloads 
 experience 
 downloaded 
 wait 
 getting into
 wandering 
 tag 
 update 
 trying 
 play 
 available 
 catch 
 mile 
 catch 
 lost 
 trainer 
 seeing 
 catch 
 Like 
 walked 
 tripped 
 capture 
 throw 
 describe 
 went down
 Spend 
 log in
 play time
 shutting 
 encourages 
 visit 
 wandering 
 thinking 
 got 
 game 
 preparing 
 prepared 
 is up
 goes down
 goes up
 been down
 PLAYING 
 appeared 
 users 
 Like 
 walked 
 tripped 
 capture 
 log 
 are down
 are down
 waiting 
 turn back
 throw 
 waiting 
 turn back
 crashing 
 stuff 
 checking 
 see 
 working 
 available 
 catch 
 live 
 side 
 Due 
 incredible 
 downloads 
 experience 
 witnessed 
 jumping 
 gone 
 announce 
 time 
 DOWNLOAD: 
 productivity down
 crashed 
 fix 
 go 
 catch 
 rode on
 find out
 Ayy 
 came over
 wandering 
 got 
 game 
 are down
 gone 
 got 
 game 
 are down
 waiting 
 go back
 waiting 
 come back
 appeared 
 wandering 
 got 
 game 
 dressed 
 run 
 servers down
 pajamas back
 verde 
 catch 
 forcing 
 walk 
 exercise 
 trying 
 work 
 lit 
 look 
 are down
 meaning 
 BELIEVE 
 PICK 
 playing 
 FOUND 
 throw 
 playing 
 can't 
 reviewing 
 run 
 rare 
 release 
 see 
 attempt 
 play 
 start 
 wandering 
 wandering 
 throw 
 seriously going
 solve 
 free 
 give away
 been down
 back up
 carry 
 go into
 collect 
 follow 
 Fun 
 trying to
 work 
 pigeons 
 dashed 
 PLAYING 
 standing 
 imagined 
 happening 
 wandering 
 free 
 give away
 killed 
 released 
 found 
 becoming 
 hate 
 get in
 hate 
 get in
 hate 
 get in
 hate 
 get in
 gone 
 Playing 
 wins 
 describe 
 become 
 stuck 
 been down
 defending 
 drop 
 come on
 knocked 
 running 
 feel 
 go down
 exercise 
 succeeded 
 downloaded 
 caught 
 worked 
 get on
 Servers 
 FOLLOW 
 been down
 count 
 get on
 Servers 
 FOLLOW 
 take 
 work 
 play 
 's up
 blame 
 caught 
 strange 
 standing 
 reload 
 wish 
 save 
 reenter 
 crash 
 working 
 fixing 
 Blocking 
 death 
 watch 
 tells 
 put 
 find 
 rest 
 wandering 
 FIND 
 work 
 trying 
 capture 
 creates 
 wasting 
 load 
 catch 
 crashing 
 describe 
 Shoutout 
 creating 
 get outside
 explore 
 been down
 prepping 
 fix 
 catch 
 hate 
 get in
 see 
 discover 
 playing 
 come up
 Played 
 got 
 job 
 wandering 
 waiting 
 sign 
 been down
 moving 
 forgot 
 talks 
 proclaimed 
 bash 
 parking 
 posting 
 launch 
 guess 
 catch 
 animals 
 talks 
 proclaimed 
 bash 
 go outside
 hate 
 get in
 game 
 walk 
 dog 
 hunt 
 played 
 working 
 death 
 wandering 
 go down
 wandering 
 chilling 
 live 
 game 
 walk 
 dog 
 hunt 
 watching 
 describe 
 catch 
 looks at
 hate 
 get in
 go down
 wish 
 lying 
 love 
 get into
 time is
 work 
 playing 
 playing 
 's down
 split 
 Uber 
 catching 
 pay 1000$
 eatin 
 start 
 death 
 wandering 
 death 
 getting 
 leave 
 go down
 go down
 Ayy 
 came over
 sharing 
 starting 
 caught 
 heading 
 look 
 throwing 
 play 
 users 
 Due 
 incredible 
 downloads 
 experience 
 killed 
 released 
 Fix 
 leaving 
 fulfill 
 master 
 play 
 Due 
 incredible 
 downloads 
 experience 
 playing 
 add 
 typed 
 password 
 typed 
 password 
 playing 
 realize 
 catch 
 is down
 users 
 been down
 playing 
 are out
 wear 
 shirt 
 identified 
 glitching 
 killing 
 CATCH 
 add 
 be up
 game 
 start 
 claiming 
 released 
 failure 
 found 
 leaked 
 lost 
 made 
 pull over
 playing 
 go down
 trying 
 killed 
 Playing 
 date 
 mid-catch 
 use 
 catch 
 pay for
 catching 
 playing 
 date 
 available 
 catch 
 catching 
 tattoo 
 be ready
 live 
 fix 
 go down
 available 
 catch 
 surprised 
 wandering 
 laughing 
 walking 
 catch 
 come 
 feels 
 chillin out
 wandering 
 go down
 hunting 
 catch 
 leave 
 walk 
 are down
 Shoutout 
 walking 
 coming 
 guarded 
 look 
 rockfire move
 report 
 stocked 
 stops 
 hate 
 get in
 bring 
 paws off
 bed 
 caught 
 said 
 lit 
 wandering 
 play 
 let 
 death 
 turn 
 .... 
 trying 
 hate 
 get in
 taking 
 caught 
 throw 
 attacks 
 walk 
 class 
 convinces 
 hang out
 wandering 
 playing 
 look up
 driving 
 witnessing 
 wandering 
 wandering 
 end up
 fade 
 wanted 
 work 
 drew 
 getting #PokemonGO
 is 
 working 
 being 
 supposed 
 stay 
 released 
 typed 
 password 
 live 
 cant play
 comes out
 live 
 run 
 based on
 rate 
 describe 
 release 
 game 
 servers up
 heavy traffic
 letting 
 catch 
 WAITED 
 feel 
 go down
 found 
 leaked 
 supposed 
 catch 
 log in
 Ayy 
 came over
 managed 
 do 
 impossible 
 catching 
 tell 
 leaving 
 starting 
 throw 
 wanted 
 collect 
 are down
 Waiting 
 appear 
 attempt 
 screw 
 downloads 
 go down
 found 
 leaked 
 waiting 
 end 
 look at
 tweet 
 bring 
 go down
 go down
 log into
 reach 
 typed 
 breaking 
 what 
 joking 
 is down
 WONT 
 LOVE 
 Keeping 
 see 
 go down
 WONT 
 LOVE 
 go down
 found 
 leaked 
 attacking 
 stopped 
 catch 
 list 
 research 
 sanitized 
 going outside
 come up
 talking 
 attacking 
 free 
 meet 
 Ayy 
 came over
 wondering 
 unexpected demand
 battle 
 catch 
 upped 
 plan 
 cause 
 gonna 
 pokemon 
 attacking 
 catch 
 Ayy 
 came over
 download 
 Playing 
 find 
 attacking 
 Fixing 
 found 
 leaked 
 what 
 going outside
 chill 
 waiting 
 play 
 Waiting 
 release 
 leave 
 walk 
 are down
 drives 
 meet 
 walk 
 are down
 can't 
 hardest 
 throw 
 found 
 leaked 
 go down
 Playing 
 caught 
 playing 
 found 
 sorted out
 frustrating 
 shout 
 can't 
 appeared 
 rocking 
 show 
 release 
 catching 
 attacking 
 wandering 
 killed 
 released 
 play 
 blame 
 being down
 hurt fun
 game 
 attacking 
 choose 
 go down
 found 
 leaked 
 THROW 
 ride 
 catch 
 is down
 Twitter 
 destroying 
 taking 
 released 
 sick 
 hearing 
 talk 
 talk 
 found 
 leaked 
 leave 
 walk 
 are down
 goes on
 walking 
 Fixing 
 found 
 leaked 
 found 
 leaked 
 sign up
 trainer 
 training up
 guard 
 leaves 
 wins 
 wandering 
 went 
 take down
 sigh 
 hear 
 Fixing 
 Playing 
 found 
 leaked 
 wandering 
 checking 
 hitting 
 stay 
 claim 
 close 
 attacking 
 caught 
 THROW 
 wandering 
 going outside
 attacking 
 Tweet 
 throw 
 going outside
 Tweet 
 wandering 
 wandering 
 sees 
 caught 
 wandering 
 getting real
 attacking 
 see 
 walk 2
 covered 
 is out
 love 
 stop 
 car 
 look for
 liking 
 Tweet 
 look out
 wandering 
 game 
 chooses 
 riding 
 wearing 
 playing 
 caught 
 game 
 is out
 is out
 consumed 
 back yard
 catching 
 going outside
 can't 
 addicted 
 fully available
 go outside
 forget 
 enter 
 wandering 
 play 
 available 
 catch 
 Hot 
 Ayy 
 came over
 wandering 
 can't 
 game 
 repairing 
 allowing 
 wandering 
 are down
 CATCH 
 SUPPOSED 
 BECOME 
 TRAINER 
 WORKING 
 catching 
 Fixing 
 wandering 
 Fixing 
 wandering 
 Fixing 
 wandering 
 roaring 
 wandering 
 flirt 
 go out
 mooching 
 Playing 
 go down
 throw 
 installed 
 found 
 hope 
 catch 
 Break out
 available 
 Playing 
 waayy 
 tired 
 crash 
 battle 
 leave 
 walk 
 are down
 heard 
 adventure 
 chill 
 use 
 experiencing 
 use 
 experiencing 
 use 
 experiencing 
 use 
 experiencing 
 use 
 experiencing 
 use 
 experiencing 
 use 
 experiencing 
 use 
 experiencing 
 use 
 experiencing 
 use 
 experiencing 
 use 
 experiencing 
 use 
 experiencing 
 use 
 experiencing 
 trespass 
 sending 
 guess 
 broke 
 running 
 use 
 experiencing 
 wandering 
 crashing 
 assume 
 overworked 
 go down
 use 
 experiencing 
 wandering 
 wandering 
 wait 
 come back
 Waiting 
 started 
 use 
 experiencing 
 Ayy 
 came over
 throw 
 wandering 
 Waiting 
 come back
 use 
 experiencing 
 feel 
 hurt 
 wait 
 leave 
 walk 
 are down
 wait 
 come back
 can't 
 hearing 
 use 
 experiencing 
 designated 
 Played 
 fix 
 servers 
 acknowledged 
 attacking 
 found 
 leaked 
 wait 
 come back
 what 
 sending 
 log into
 get out
 loading 
 wait 
 come back
 moving 
 find 
 suck 
 guess 
 wait 
 shown 
 Hiding 
 found 
 leaked 
 Natural selection
 find 
 pokmon 
 game 
 population 
 Making 
 meet 
 release 
 Birthday ..
 make up
 Making 
 meet 
 Shoutout 
 creating 
 get outside
 explore 
 back up
 can't 
 play 
 attacking 
 wandering 
 crashed 
 reverted 
 coming 
 wandering 
 wait 
 come back
 Fixing 
 designing 
 wandering 
 Fixing 
 standing out
 talking 
 dream 
 ANTICIPATE 
 leave 
 walk 
 are down
 trying to
 leave 
 walk 
 are down
 wandering 
 leave 
 walk 
 are down
 check 
 leave 
 walk 
 are down
 trying 
 catch pokemon
 feel like
 love 
 leave 
 walk 
 are down
 Making 
 meet 
 leave 
 walk 
 are down
 getting 
 checking 
 leave 
 walk 
 are down
 go down
 leave 
 walk 
 are down
 Ayy 
 came over
 back up
 activity 
 Tried out
 walked 
 go to
 fucking 
 WENT OUT
 tweakin 
 found 
 leaked 
 go down
 Fixing 
 Ayy 
 came over
 back yard
 remind 
 live 
 leave 
 walk 
 are down
 made 
 friend 
 fix 
 expect 
 play 
 use 
 experiencing 
 stopped 
 playing 
 see 
 feel 
 being down
 see 
 kill 
 try 
 walk 
 is down
 Making 
 meet 
 use 
 experiencing 
 DRINKING 
 shot 
 Come over
 blocking 
 go out
 play 
 turned 
 data 
 Wake 
 back up
 Ayy 
 came over
 help 
 found 
 leaked 
 sending 
 found 
 leaked 
 log 
 found 
 leaked 
 's up
 operated 
 log 
 Tweet 
 fixing 
 go down
 wait 
 come back
 wandering 
 log 
 declined 
 asking 
 log 
 log 
 log 
 found 
 leaked 
 wait 
 come back
 tired 
 filLED 
 crossing 
 leave 
 walk 
 are down
 got 
 game 
 found 
 leaked 
 wait 
 come back
 been down
 found 
 leaked 
 Fixing 
 catch 
 real test
 fucked 
 found 
 leaked 
 leave 
 walk 
 are down
 game 
 run 
 lose 
 server crashes
 go down
 Ayy 
 came over
 forget 
 enter 
 catch 
 die 
 die 
 looking at
 get off
 overloading 
 die 
 BAM 
 leave 
 walk 
 are down
 leave 
 walk 
 are down
 official petition
 android version
 wandering 
 available 
 catch 
 log 
 found 
 leaked 
 die 
 Ayy 
 came over
 love 
 rushing 
 sending 
 get off
 overloading 
 Raise 
 spent 
 play 
 playing 
 wait 
 come back
 leave 
 walk 
 are down
 am 
 trying 
 look 
 leave 
 walk 
 are down
 wandering 
 Playing 
 Ayy 
 came over
 driving 
 put 
 starting 
 wandering 
 caught 
 encounter 
 fix 
 fix 
 found 
 leaked 
 interested 
 save 
 rained 
 standing 
 wandering 
 picked 
 Ayy 
 came over
 escaped 
 FOUND 
 log 
 log 
 saw 
 seen 
 found 
 leaked 
 freaking out
 need 
 exercise 
 throw 
 checking 
 feel 
 playing 
 eating 
 see 
 informing 
 going outside
 wandering 
 enjoying 
 hunting 
 Ayy 
 came over
 tweeting 
 named 
 love 
 Keep 
 leave 
 walk 
 are down
 wandering 
 play 
 claimed 
 get off
 overloading 
 leave 
 walk 
 are down
 capture 
 leaving home*
 telling 
 go outside
 wandering 
 Raise 
 spent 
 play 
 playing 
 sending 
 use 
 experiencing 
 break 
 appeared 
 leave 
 walk 
 are down
 hurt 
 wait 
 walking 
 leave 
 walk 
 are down
 capture 
 Ayy 
 came over
 found 
 copped 
 caught 
 wandering 
 parking lot
 catch 
 looking at
 wandering 
 expected 
 work 
 wandering 
 fix 
 expect 
 play 
 found 
 leaked 
 addicting 
 picked 
 go down
 CRYING 
 minutes 
 had 
 game 
 stop 
 swipe up
 playing 
 can't 
 pee 
 caught 
 get off
 overloading 
 stressed 
 hit 
 get off
 overloading 
 find 
 game 
 wanted 
 catch 
 watch 
 playing 
 catch 
 buy 
 hurt 
 found 
 wandering 
 hype 
 leave 
 head in
 catch 
 wandering 
 catching 
 catching 
 go down
 going outside
 fall 
 remember 
 catch 
 remember 
 are down
 playing 
 wandering 
 Ayy 
 came over
 suffering 
 Due 
 incredible 
 downloads 
 experience 
 Ayy 
 came over
 church 
 run 
 chill 
 playing 
 get a
 walking 
 catching 
 Tweet 
 looking for
 hate 
 Playing 
 playing 
 leave 
 walk 
 are down
 catch 
 got 
 become 
 is out
 see 
 hurt 
 date 
 missed 
 set change
 catch 
 went 
 caught 
 get off
 overloading 
 walking 
 playing 
 Captured 
 find 
 travel 
 searching 
 cheating 
 tryin catch
 Raise 
 spent 
 play 
 playing 
 addicted 
 game 
 eat 
 walked 
 wanted 
 jump 
 was down
 post 
 caught 
 wandering 
 Playing 
 forgotten 
 ride 
 Shoutout 
 creating 
 get outside
 explore 
 bad 
 feel 
 coming up
 sending 
 skate around
 found 
 leaked 
 destroy 
 Playing 
 Playing 
 Playing 
 get off
 overloading 
 Playing 
 choose 
 Use 
 Playing 
 Playing 
 Playing 
 Playing 
 evolve 
 seeing 
 walking 
 playing 
 Playing 
 privacy 
 wandering 
 wandering 
 hang out
 drive 
 looking for
 rush 
 log 
 gonna 
 went 
 caught 
 Sign up
 play 
 game 
 access 
 remember 
 use 
 driving 
 see 
 ran over
 leave 
 walk 
 are down
 fire 
 going outside
 Playing 
 log 
 head in
 catch 
 looking 
 looking 
 addicted 
 get a
 play 
 game idea
 sending 
 Playing 
 find 
 SUPPOSED 
 CATCH 
 joining 
 Playing 
 throw 
 throw 
 Went 
 found 
 flurry 
 taking over
 log 
 Looking for
 kill 
 trying 
 find 
 go on
 plan 
 trip 
 Playing 
 ran 
 walked 
 water 
 play 
 caught 
 leave 
 walk 
 are down
 Playing 
 charge 
 take 
 walk 
 found 
 go 
 see 
 show 
 Playing 
 wait 
 come back
 sending 
 Playing 
 Playing 
 Ayy 
 came over
 Playing 
 looking 
 looking 
 released 
 Caught 
 get off
 overloading 
 looking 
 fillet 
 wandering 
 keep 
 reversed 
 get off
 overloading 
 available 
 catch 
 Ayy 
 came over
 Ayy 
 came over
 home 
 catch 
 JUMP 
 RUN UP
 morning 
 cause 
 watching 
 Playing 
 Playing 
 Playing 
 get off
 overloading 
 log 
 shouldn't, 
 - 
 jump 
 wandering 
 Playing 
 Playing 
 Playing 
 said 
 didnt 
 meant 
 Ayy 
 came over
 play 
 comes out
 Come over
 blocking 
 wandering 
 #PokemonGO down
 die 
 looking 
 order 
 check 
 battle 
 die 
 die 
 find 
 playing 
 Show 
 Ayy 
 came over
 Ayy 
 came over
 dropping 
 wandering 
 walking 
 describe 
 wandering 
 Playing 
 sending 
 been down
 Playing 
 based 
 used 
 meaning 
 Playing 
 leaving 
 went 
 caught 
 wandering 
 said 
 didnt 
 meant 
 Playing 
 sending 
 sending 
 playing 
 send 
 running 
 log 
 Playing 
 go down
 leave 
 walk 
 are down
 pulled out
 yelling 
 wandering 
 wandering 
 leave 
 walk 
 are down
 appeared 
 Fixing 
 get off
 overloading 
 free 
 give away
 remember 
 took 
 looking 
 Stay safe
 show 
 caught 
 break 
 listening 
 Playing 
 Playing 
 leave 
 walk 
 are down
 wandering 
 currently down
 wandering 
 Playing 
 catching 
 find 
 Playing 
 glitched 
 dead 
 exercising 
 playing 
 game 
 thought 
 Fixing 
 found 
 talking 
 walking 
 hunting 
 see 
 eating 
 caught 
 go down
 using 
 taking 
 looking 
 get off
 overloading 
 get off
 overloading 
 crossing 
 sick 
 took 
 figured 
 Ayy 
 came over
 thing 
 Playing 
 Playing 
 EAT 
 attract 
 Playing 
 hoping 
 Playing 
 Ate 
 charge 
 bit 
 Fixing 
 Playing 
 fly 
 Uses 
 found 
 leaked 
 Playing 
 wonder 
 playing 
 die 
 happen 
 Playing 
 Fixing 
 found 
 leaked 
 pulling 
 catch 
 chill 
 playing 
 game 
 Playing 
 Fixing 
 catching 
 Fixing 
 looking 
 rolls 
 Ayy 
 came over
 hunting 
 wandering 
 Playing 
 walking 
 wandering 
 hope 
 battling 
 Playing 
 date idea
 Run 
 catching 
 Playing 
 get off
 overloading 
 wandering 
 log 
 see 
 eating 
 appears 
 Playing 
 throw 
 believe 
 Fixing 
 get off
 overloading 
 Ayy 
 came over
 Playing 
 lost 
 Fixing 
 Making 
 meet 
 Playing 
 sending 
 Ayy 
 came over
 Playing 
 Ayy 
 came over
 found 
 hunting 
 ended up
 clustered 
 Playing 
 found 
 give 
 go outside
 wandering 
 warrant 
 happened 
 made 
 use 
 use 
 want!YOU'RE 
 can't 
 Playing 
 stuck 
 thought 
 lost 
 hate 
 get in
 caught 
 come 
 wandering 
 Playing 
 spot 
 running 
 catching 
 showing up
 RIP 
 walking 
 playing 
 throw 
 caught 
 Playing 
 Playing 
 walk 
 hearing 
 follow 
 fix 
 asked 
 wanted 
 take 
 capture 
 wandering 
 log 
 wandering 
 playing 
 get off
 overloading 
 get off
 overloading 
 love 
 live 
 can't ever
 register 
 encounter 
 game 
 addicting 
 Ayy 
 came over
 leave 
 play 
 Fixing 
 wandering 
 Fixing 
 get off
 overloading 
 track 
 Playing 
 download 
 go outside
 get off
 overloading 
 sending 
 repeated 
 hatched 
 rule 
 wait 
 get off
 overloading 
 Playing 
 log 
 wandering 
 get off
 overloading 
 leave 
 describe 
 lost 
 Playing 
 throw 
 ran 
 Playing 
 find 
 excited 
 trying out
 Making 
 meet 
 done 
 combat 
 has in
 caught on
 catch 
 run 
 chasing 
 look 
 covered 
 believe 
 catch 
 sending 
 need support
 catch 
 caught 
 Playing 
 Playing 
 GOT 
 looking 
 DIE 
 walk 
 Ayy 
 came over
 bed 
 throw 
 Playing 
 caught 
 tripped 
 scraped 
 caught 
 buying 
 game 
 failing 
 authenticate 
 walked 
 hour 
 looking for
 died 
 leave 
 walk 
 chill 
 decided 
 play 
 grown up
 bird 
 see 
 lost 
 Playing 
 wanted 
 Walking 
 catching 
 Fixing 
 Literally 
 get off
 overloading 
 told 
 throw 
 told 
 catch 
 catching 
 done 
 combat 
 has in
 find 
 get off
 overloading 
 walk 
 catch 
 lost 
 get off
 overloading 
 Playing 
 created 
 invited 
 daughters 
 read 
 found 
 leaked 
 found 
 Playing 
 done 
 combat 
 has in
 strict parents
 strict parents
 done 
 combat 
 has in
 strict parents
 strict parents
 done 
 combat 
 has in
 done 
 combat 
 has in
 done 
 combat 
 has in
 wandering 
 strict parents
 Playing 
 strict parents
 Playing 
 strict parents
 done 
 combat 
 has in
 done 
 combat 
 has in
 emerging 
 strict parents
 strict parents
 done 
 combat 
 has in
 strict parents
 done 
 combat 
 has in
 leave 
 walk 
 are down
 fix 
 strict parents
 strict parents
 log 
 Playing 
 done 
 combat 
 has in
 got 
 account 
 log onto
 exercised 
 strict parents
 look 
 test 
 done 
 combat 
 done 
 incense 
 sitting 
 game 
 wish 
 add 
 using 
 throw 
 get off
 overloading 
 wandering 
 Playing 
 log 
 done 
 combat 
 has in
 strict parents
 done 
 combat 
 has in
 caught 
 Stop 
 exercise 
 done 
 combat 
 has in
 killed 
 released 
 done 
 combat 
 has in
 found 
 leaked 
 DIE 
 strict parents
 wandering 
 done 
 combat 
 done 
 appeared 
 caught 
 strict parents
 done 
 combat 
 has in
 Playing 
 Playing 
 strict parents
 wandering 
 done 
 combat 
 has in
 strict parents
 Ayy 
 came over
 waiting 
 jump out
 attack 
 strict parents
 propertyWHERE 
 done 
 combat 
 has in
 playing 
 Ayy 
 came over
 leave 
 go down
 wandering 
 Playing 
 Blocking 
 wandering 
 throw 
 done 
 combat 
 has in
 game 
 lit 
 strict parents
 strict parents
 takes 
 evolve 
 Operation 
 get off
 overloading 
 wandering 
 lost 
 wandering 
 wandering 
 get to
 shaking 
 playing 
 came over
 found 
 strict parents
 play 
 is out
 caught 
 work 
 Ayy 
 came over
 done 
 combat 
 has in
 strict parents
 done 
 combat 
 has in
 strict parents
 go down
 strict parents
 Fixing 
 is about
 ruined 
 game 
 left 
 throw 
 throw 
 strict parents
 throw 
 strict parents
 incense 
 sitting 
 Fixing 
 Ayy 
 came over
 done 
 combat 
 has in
 strict parents
 catch 
 Playing 
 walking 
 morning 
 tweet 
 wandering 
 encounter 
 aint 
 believe 
 done 
 combat 
 has in
 get off
 overloading 
 done 
 combat 
 has in
 Playing 
 deleted 
 hype 
 lead 
 mosques 
 catch 
 Raise 
 spent 
 play 
 playing 
 walked 
 hour 
 looking for
 died 
 trying to
 done 
 combat 
 has in
 end up
 wandering 
 open 
 is there
 strict parents
 Ayy 
 came over
 done 
 combat 
 has in
 throw 
 trainers 
 caught 
 participated 
 done 
 combat 
 has in
 work 
 playing 
 wandering 
 Driving 
 jipped 
 end up
 waiting 
 jump out
 attack 
 walk 
 ran out
 lit 
 Allowing 
 rename 
 catch 
 game 
 is in
 Ayy 
 came over
 BUYING 
 DRINKS 
 JUMPED 
 ASKING 
 walk 
 catch 
 game 
 is in
 exist 
 see 
 participated 
 venturing 
 fire 
 participated 
 sending 
 Playing 
 eatin 
 easy 
 wandering 
 done 
 combat 
 has in
 been down
 resorted 
 watching 
 feel 
 nearby 
 Ayy 
 came over
 go down
 done 
 combat 
 has in
 BUYING 
 DRINKS 
 JUMPED 
 ASKING 
 play 
 see 
 blend in
 working 
 obsessed 
 done 
 combat 
 has in
 done 
 combat 
 has in
 tap 
 close 
 swipe up
 close 
 Making 
 meet 
 caught 
 running 
 strict parents
 work 
 found 
 Playing 
 strict parents
 work 
 back up
 Playing 
 check 
 go 
 catch 
 done 
 combat 
 has in
 GAME 
 strict parents
 propertyWHERE 
 Playing 
 throw 
 killed 
 found 
 get off
 overloading 
 done 
 combat 
 has in
 killed 
 making 
 got a
 shut 
 released 
 participated 
 strict parents
 strict parents
 walked 
 hour 
 looking for
 died 
 walking around
 come over
 thinking 
 wandering 
 done 
 combat 
 has in
 cross 
 street 
 called 
 lunch 
 see 
 Playing 
 holding 
 are on
 live 
 moving 
 exercising 
 walk 
 hunt 
 done 
 combat 
 has in
 planning 
 get off
 overloading 
 shops 
 try out
 done 
 combat 
 has in
 discuss 
 Ayy 
 came over
 get off
 overloading 
 end up
 caught 
 sitting 
 get off
 overloading 
