userId,followers,friends,statuses,listed,favourites
40361513,1422666,176,3563,11079,773
89366493,1453969,76,933,6184,34
23482357,631394,36872,13584,1695,776
66369206,755733,154,7634,6853,5
37874853,630420,96,199580,4963,28
1209309782,1747279,61,3624,2561,1023
21258337,456593,828,29430,3050,9076
34554134,551481,1848,11125,10223,1421
24291371,1294182,2628,199354,1999,10
284441324,2645644,607,57160,5512,227
2238233502,68143,466,4957,70,1265
2875485611,86684,386,5188,954,2733
21692297,194342,706,44642,4522,2214
224495471,97691,2142,38633,2228,2852
111641335,34578,687,21601,567,6071
22083910,738219,518,12352,6353,465
227390518,1413268,189,50030,2870,3303
40572559,568439,6888,30555,3164,70
78767466,278176,151,2211,3892,317
68577152,498622,594,19129,4051,400
19602869,1214678,6864,5779,3064,4494
20279424,559695,1697,15394,1863,16582
5827292,235491,577,2153,4547,72
148810980,187953,2133,16098,1610,466
19489239,266077,23893,97559,7245,43
18916728,220360,2027,12557,3276,7396
34649924,46087,460,34145,372,57
7424642,200544,39,102114,8604,1
24133242,448497,1798,33108,2595,1046
86328927,66356,1675,43012,1387,13369
18759851,146254,113,10225,1050,1410
46361818,91131,8137,51649,534,8835
625438569,20067,66,8456,128,178
483192121,293524,817,5028,2383,2400
158777509,236757,131,2276,1909,1
15866188,108376,3832,18155,3131,7205
16465385,185268,541,4731,3342,201
19789046,785353,197,19208,1926,1124
173210133,630327,3936,14833,3180,1978
14364617,306679,33,9403,1385,2137
18735898,312856,263,2407,8788,706
102707504,351751,205,13615,2359,388
26981013,307067,543,6985,1894,7056
7439692,526765,2024,3438,3761,1119
1861393146,352355,113,7313,1427,1047
2282671736,876778,100,3259,3034,2140
20019468,311779,273,3527,2321,2115
15568127,606411,4820,30640,7248,443
3114313702,42121,1066,2505,541,877
48203492,412043,722,7180,2083,97
2462159245,2437,969,17,21,24
34310801,161046,925,17182,1977,986
14662354,261329,1781,104885,6903,6409
14291684,314153,15050,17191,3490,121
1604444052,66939,2565,33849,1206,8419
33055971,98349,645,16432,937,24168
169979375,476767,664,89396,2953,716
22667478,16826,1870,10663,517,2140
249677516,100881,1040,13620,1752,133
66209470,426306,418,2807,2005,249
130314799,94201,2851,20968,3361,445
1209342523,1017127,49,3401,1910,533
40252336,239193,1554,21066,3940,1625
34381878,176193,642,8474,2317,3963
346878074,509254,462,4527,944,1062
24977474,271124,310,12337,1152,1731
41305464,494672,81,2193,2668,26
15175368,494922,216,5078,4495,96
25103967,307876,218,4011,3247,15
36681590,129411,727,10800,2077,1229
34176543,212952,1576,26569,2135,1616
606776750,158151,67,4521,3648,112
